OBJECT_ID,OBJECT_NAME,NORAD_CAT_ID,COUNTRY,PERIOD,INCLINATION,APOGEE,PERIGEE,RCS_SIZE,RCSVALUE,LAUNCH,COMMENT
"1997-051XC","IRIDIUM 33 DEB","36642","US","98.46","86.38","700","670","SMALL","0","1997-09-14",""
"1993-036BEW","COSMOS 2251 DEB","36632","CIS","100.50","74.01","810","754","SMALL","0","1993-06-16",""
"1993-036BEU","COSMOS 2251 DEB","36630","CIS","100.12","73.98","795","733","SMALL","0","1993-06-16",""
"1993-036BER","COSMOS 2251 DEB","36627","CIS","98.16","74.25","696","645","SMALL","0","1993-06-16",""
"1993-036BEQ","COSMOS 2251 DEB","36626","CIS","96.17","74.04","683","467","SMALL","0","1993-06-16",""
"1993-036BEP","COSMOS 2251 DEB","36625","CIS","98.13","73.88","716","622","SMALL","0","1993-06-16",""
"1993-036BEM","COSMOS 2251 DEB","36623","CIS","99.35","74.10","929","526","SMALL","0","1993-06-16",""
"1993-036BEL","COSMOS 2251 DEB","36622","CIS","98.58","74.02","753","628","SMALL","0","1993-06-16",""
"1993-036BEF","COSMOS 2251 DEB","36617","CIS","97.14","73.98","689","555","SMALL","0","1993-06-16",""
"1993-036BED","COSMOS 2251 DEB","36615","CIS","100.37","74.07","859","693","SMALL","0","1993-06-16",""
"1993-036BEC","COSMOS 2251 DEB","36614","CIS","99.99","74.03","776","740","SMALL","0","1993-06-16",""
"2010-031A","OFEQ 9","36608","ISRA","","","","","","0","2010-06-22","NO ELEMENTS AVAILABLE"
"2010-030B","SL-24 R/B","36606","CIS","101.12","97.40","1125","498","LARGE","0","2010-06-21",""
"2010-030A","TANDEM X","36605","GER","94.79","97.45","510","507","LARGE","0","2010-06-21",""
"2010-028E","SL-24 DEB","36602","CIS","98.47","98.17","699","671","LARGE","0","2010-06-15",""
"2010-028D","SL-24 DEB","36601","CIS","99.43","98.38","743","719","LARGE","0","2010-06-15",""
"2010-028C","BPA 1/SL-24 R/B","36600","UKR","104.92","98.26","1267","714","LARGE","0","2010-06-15",""
"2010-028B","PRISMA (MANGO)","36599","SWED","98.90","98.36","745","667","MEDIUM","0","2010-06-15",""
"2010-028A","PICARD","36598","FR","99.27","98.31","724","723","MEDIUM","0","2010-06-15",""
"2010-027B","CZ-2D R/B","36597","PRC","96.62","97.74","640","554","LARGE","0","2010-06-15",""
"2010-027A","SJ-12","36596","PRC","96.25","97.60","586","571","LARGE","0","2010-06-15",""
