0 INTELSAT 1-F1
0 INTELSAT 505
1 13595U 82097A   18007.47410297 -.00000058  00000-0  00000+0 0  9992
2 13595  15.3133 356.4363 0026831 319.1291 235.7334  0.98405547 97754
0 INTELSAT 506
1 14077U 83047A   18004.24106602 -.00000220 +00000-0 +00000-0 0  9990
2 14077 015.2655 359.3059 0042804 263.9412 281.5614 00.99164524093485
0 INTELSAT 507
1 14421U 83105A   18008.29643868 -.00000289  00000-0  00000+0 0  9991
2 14421  15.0663 357.1125 0007507 319.6688 227.0784  0.99699544106607
0 INTELSAT 508
1 14786U 84023A   18006.80478434 -.00000186 +00000-0 +00000-0 0  9992
2 14786 015.9609 002.6902 0013891 166.4557 010.5878 00.97293114015969
0 INTELSAT 510
1 15629U 85025A   18008.07784313 -.00000111  00000-0  00000+0 0  9996
2 15629  15.6505   5.7856 0038066 296.7580 223.5877  0.98284316 84960
0 INTELSAT 511
1 15873U 85055A   18007.92272294 -.00000290 +00000-0 +00000-0 0  9992
2 15873 015.2200 005.1927 0013139 345.4752 021.4938 01.00089774093664
0 INTELSAT 512
1 16101U 85087A   18006.96990424 -.00000059  00000-0  00000+0 0  9999
2 16101  15.4613   9.7224 0013447 259.6136 276.5793  0.99110404 99753
0 NSS 513 (INTELSAT 513)
1 19121U 88040A   18007.01614513 -.00000028  00000-0  00000+0 0  9991
2 19121  15.3364  14.3188 0011267 357.5208   2.4900  0.98572920 84199
0 INTELSAT 515
1 19772U 89006A   18007.04629394 -.00000074  00000-0  00000+0 0  9993
2 19772  14.7576  19.8153 0017176  25.3663 170.9480  0.99102321 94078
0 INTELSAT 602
1 20315U 89087A   18007.99979748 -.00000148  00000-0  00000+0 0  9994
2 20315  12.4017  30.6717 0004555 216.4320 326.6988  0.99005199100813
0 INTELSAT 603
1 20523U 90021A   18008.15127420  .00000086  00000-0  00000+0 0  9996
2 20523  11.8738  32.1861 0007868 298.0488 245.2257  0.99476484 94697
0 INTELSAT 604
1 20667U 90056A   18007.36625909 -.00000228  00000-0  00000+0 0  9999
2 20667  12.3394  33.1317 0011595 253.5499 125.3516  0.98435895102907
0 INTELSAT 605
1 21653U 91055A   18007.36106994 -.00000221  00000-0  00000+0 0  9996
2 21653  10.3752  39.2175 0006088 237.0123 130.4285  0.99329495 96350
0 INTELSAT 601
1 21765U 91075A   18007.14526214  .00000047  00000-0  00000+0 0  9994
2 21765  10.2987  38.3419 0007912 252.1211 107.8083  0.99586447 95611
0 NSS K (INTELSAT K)
1 21989U 92032A   18008.10535420 -.00000066  00000-0  00000+0 0  9994
2 21989  12.3540  34.9962 0089032 282.2501 261.6838  0.97180012102523
0 INTELSAT 701
1 22871U 93066A   18007.67485990 +.00000048 +00000-0 +00000-0 0  9990
2 22871 004.5862 066.0825 0004635 228.6492 300.6816 00.99318160088484
0 INTELSAT 702
1 23124U 94034A   18008.19465887  .00000041  00000-0  00000+0 0  9991
2 23124   4.9207  64.2383 0006535 281.6749  78.1671  0.98936798100413
0 INTELSAT 2 (PAS 2)
1 23175U 94040A   18007.83695126 -.00000104 +00000-0 +00000-0 0  9997
2 23175 007.0521 054.8652 0006842 261.1166 105.9725 00.99195143085078
0 NSS 703 (INTELSAT 703)
1 23305U 94064A   18006.93399255 -.00000329 +00000-0 +00000-0 0  9991
2 23305 006.3772 055.8214 0011417 202.5354 327.1954 00.99307786085115
0 INTELSAT 704
1 23461U 95001A   18008.07496084 -.00000184  00000-0  00000+0 0  9999
2 23461   6.6300  54.6310 0002330 211.5431 163.4474  0.99180408 83905
0 INTELSAT 705
1 23528U 95013A   18008.35653958 -.00000249  00000-0  00000+0 0  9994
2 23528   6.2620  56.6471 0012263  15.5169 143.9056  0.98975963 83104
0 INTELSAT 706
1 23571U 95023A   18007.38519806 -.00000020 +00000-0 +00000-0 0  9996
2 23571 004.8418 063.8709 0003586 219.8894 167.1341 00.99052268082791
0 INTELSAT 4 (PAS 4)
1 23636U 95040A   18008.36089336 -.00000069  00000-0  00000+0 0  9998
2 23636   6.1543  59.0313 0030914 177.7843 266.0362  0.97126735 81224
0 INTELSAT 3R (PAS 3R)
1 23764U 96002A   18007.66864042 +.00000056 +00000-0 +00000-0 0  9992
2 23764 006.4068 055.5833 0021494 211.8741 315.9826 00.99085988080245
0 INTELSAT 707
1 23816U 96015A   18007.78029024 +.00000007 +00000-0 +00000-0 0  9996
2 23816 003.9574 070.7819 0070279 275.6214 122.5753 00.98479413079594
0 INTELSAT 24 (AMOS 1)
1 23865U 96030B   18008.41611853 -.00000176  00000-0  00000+0 0  9992
2 23865   7.4065  52.8679 0008574 165.3822 200.0109  0.97118710 78647
0 INTELSAT 709
1 23915U 96035A   18008.49399669 -.00000275  00000-0  00000+0 0  9999
2 23915   4.3616  67.8957 0016798 183.5700 193.9566  0.99183920 78824
0 INTELSAT 26 (JCSAT 4)
1 24732U 97007A   18008.02538115 -.00000023  00000-0  00000+0 0  9998
2 24732   7.7696  48.5973 0003328 230.9524 262.8914  1.00271532 76378
0 INTELSAT 801
1 24742U 97009A   18007.99004510 -.00000219  00000-0  00000+0 0  9990
2 24742   7.2433  52.2631 0013709 272.7337 265.9860  0.98736574 76198
0 INTELSAT 802
1 24846U 97031A   18007.74963645 -.00000183 +00000-0 +00000-0 0  9997
2 24846 005.3976 061.6417 0032566 219.4318 277.4985 00.98110225074697
0 INTELSAT 5 (PAS 5)
1 24916U 97046A   18007.46138820 -.00000155 +00000-0 +00000-0 0  9998
2 24916 003.9441 070.1107 0004294 199.4143 160.4289 01.00272035074710
0 NSS 5 (INTELSAT 803)
1 24957U 97053A   18007.86169274  .00000096  00000-0  00000+0 0  9994
2 24957   4.2330  68.3105 0003555 226.8987 172.8320  1.00271116 74333
0 INTELSAT 804
1 25110U 97083A   18007.07081196 -.00000251  00000-0  00000+0 0  9992
2 25110   9.9785  39.1940 0008799 261.1463 284.2804  1.00152916 73510
0 NSS 806 (INTELSAT 806)
1 25239U 98014A   18008.33934830 -.00000288  00000-0  00000+0 0  9991
2 25239   0.0496   8.7758 0004601 280.7888 252.9262  1.00273242 72759
0 INTELSAT 805
1 25371U 98037A   18007.63813760 -.00000042  00000-0  00000+0 0  9991
2 25371   0.4504  93.9669 0003417 202.9444 208.9387  1.00271620 71650
0 INTELSAT 7 (PAS 7)
1 25473U 98052A   18008.06425666 -.00000119  00000-0  00000+0 0  9998
2 25473   3.6562  73.2365 0007891 162.1024 197.7535  0.98211854 70600
0 INTELSAT 8 (PAS 8)
1 25522U 98065A   18008.08413140 -.00000127  00000-0  00000+0 0  9992
2 25522   1.4725  87.2381 0300645 224.7483 273.5584  0.95185288 70034
0 INTELSAT 6B (PAS 6B)
1 25585U 98075A   18008.10637248 -.00000032  00000-0  00000+0 0  9997
2 25585   7.6196  50.1360 0012021 110.3816 250.4321  0.99150759 69442
0 INTELSAT 9 (PAS 9)
1 26451U 00043A   18008.07637191 -.00000228  00000-0  00000+0 0  9998
2 26451   3.9328  70.3366 0003040 226.4041 168.8204  1.00270991 63946
0 INTELSAT 12 (PAS 12)
1 26590U 00068A   18007.90739126 +.00000126 +00000-0 +00000-0 0  9998
2 26590 000.9233 091.7171 0004910 218.6368 168.6914 01.00273005020819
0 INTELSAT 1R (PAS 1R)
1 26608U 00072A   18007.62910111 -.00000148 +00000-0 +00000-0 0  9992
2 26608 000.7287 093.5999 0000442 161.8452 235.2604 01.00271379010417
0 INTELSAT 10 (PAS 10)
1 26766U 01019A   18008.15479840  .00000115  00000-0  00000+0 0  9999
2 26766   1.9489  84.2403 0004066 221.8387 264.7726  1.00271345 61024
0 INTELSAT 901
1 26824U 01024A   18008.39282177 -.00000150  00000-0  00000+0 0  9991
2 26824   0.0212  36.7478 0002283 257.3638 297.1845  1.00269710 60696
0 INTELSAT 902
1 26900U 01039A   18007.85462671 +.00000022 +00000-0 +00000-0 0  9999
2 26900 000.0170 057.9208 0002963 236.8962 182.1976 01.00272087059818
0 INTELSAT 904
1 27380U 02007A   18008.15495003  .00000127  00000-0  00000+0 0  9992
2 27380   0.0126  95.0837 0002779 193.6749 279.7538  1.00271642 58183
0 INTELSAT 903
1 27403U 02016A   18008.11203728 -.00000234  00000-0  00000+0 0  9995
2 27403   0.2819  95.2326 0000811 238.7573 142.4372  1.00271083 57748
0 INTELSAT 905
1 27438U 02027A   18007.74493765 -.00000195 +00000-0 +00000-0 0  9992
2 27438 000.0143 065.8800 0002131 223.8101 061.2396 01.00269520020469
0 INTELSAT 906
1 27513U 02041A   18008.14814420  .00000005  00000-0  00000+0 0  9990
2 27513   0.0322  86.0791 0003159 230.5959 268.4286  1.00272849 56065
0 INTELSAT 907
1 27683U 03007A   18006.78099241 -.00000214 +00000-0 +00000-0 0  9999
2 27683 000.0106 101.9985 0002969 189.7194 068.2311 01.00272210054536
0 INTELSAT 1002
1 28358U 04022A   18007.99282137 -.00000021  00000-0  00000+0 0  9994
2 28358   0.0137 102.8849 0000642 238.8597 122.1662  1.00273161 49728
0 INTELSAT 11 (PAS 11)
1 32253U 07044B   18008.35532135 -.00000278  00000-0  00000+0 0  9991
2 32253   0.0343 134.3193 0001669 167.8852 250.5648  1.00271422 37627
0 INTELSAT 25(PROTOSTAR 1)
1 33153U 08034A   18006.79210141 -.00000235 +00000-0 +00000-0 0  9991
2 33153 000.0119 093.1858 0003113 192.5900 074.1705 01.00271448034824
0 INTELSAT 14
1 36097U 09064A   18007.82677597 -.00000284  00000-0  00000+0 0  9995
2 36097   0.0156  74.4223 0002583 216.1155  69.4148  1.00271983 29802
0 INTELSAT 15
1 36106U 09067A   18007.82484743 -.00000196 +00000-0 +00000-0 0  9991
2 36106 000.0160 061.2384 0002473 239.7622 188.4075 01.00271808010401
0 INTELSAT 16
1 36397U 10006A   18008.50393236 -.00000254  00000-0  00000+0 0  9994
2 36397   0.0189  29.3942 0002202 277.8330 265.9590  1.00272756 28830
0 INTELSAT 17
1 37238U 10065B   18007.81087569 -.00000012 +00000-0 +00000-0 0  9999
2 37238 000.0122 136.5999 0002941 161.6171 167.0063 01.00272089022513
0 INTELSAT NEW DAWN
1 37392U 11016A   18007.87337698 +.00000145 +00000-0 +00000-0 0  9990
2 37392 000.0246 132.2175 0000636 182.6769 139.7135 01.00274527022408
0 INTELSAT 18
1 37834U 11056A   18008.50065013  .00000044  00000-0  00000+0 0  9992
2 37834   0.0113 325.5051 0002410 346.1590 156.5451  1.00272041 22950
0 INTELSAT 22
1 38098U 12011A   18008.19354675 -.00000068  00000-0  00000+0 0  9994
2 38098   0.0162  16.0496 0002693 270.7684 322.6359  1.00271883 21147
0 INTELSAT 19
1 38356U 12030A   18008.23948784 -.00000066  00000-0  00000+0 0  9995
2 38356   0.0152  19.3911 0002975 273.0359  67.5219  1.00272273 20614
0 INTELSAT 20
1 38740U 12043A   18007.51238421 -.00000036 +00000-0 +00000-0 0  9994
2 38740 000.0107 073.7705 0002705 113.1685 173.0378 01.00272198019863
0 INTELSAT 21
1 38749U 12045A   18007.86280062 -.00000295  00000-0  00000+0 0  9997
2 38749   0.0178  30.0440 0002107 268.1764  61.7584  1.00270139 19738
0 INTELSAT 23
1 38867U 12057A   18007.84898523 -.00000295 +00000-0 +00000-0 0  9997
2 38867 000.0118 023.0314 0001903 275.1616 061.7878 01.00269522019091
0 INTELSAT 30
1 40271U 14062A   18008.15535288 -.00000160  00000-0  00000+0 0  9998
2 40271   0.0171  46.1043 0001937  76.6940 305.7116  1.00270951 11869
0 INTELSAT 34
1 40874U 15039A   18007.85593595 -.00000296  00000-0  00000+0 0  9993
2 40874   0.0203  23.0669 0000653 195.1043 141.8242  1.00272967  8771
0 INTELSAT 29E
1 41308U 16004A   18007.84062855 -.00000292  00000-0  00000+0 0  9994
2 41308   0.0205 283.6274 0001883  13.4233  62.9106  1.00269834  7254
0 INTELSAT 31
1 41581U 16035A   18006.96819560 -.00000162  00000-0  00000+0 0  9992
2 41581   0.0430 216.2235 0002307 352.0815 151.6631  1.00270936  5786
0 INTELSAT 36
1 41747U 16053A   18007.51238214 -.00000035 +00000-0 +00000-0 0  9999
2 41747 000.0107 013.3573 0002315 303.2321 043.3729 01.00272101005085
0 INTELSAT 33E
1 41748U 16053B   18007.53592270 +.00000038 +00000-0 +00000-0 0  9999
2 41748 000.0162 041.5645 0002176 250.6289 067.7639 01.00271253005350
0 INTELSAT 32E
1 41945U 17007B   18006.82451209 -.00000280 +00000-0 +00000-0 0  9995
2 41945 000.0109 065.0811 0000150 185.6224 109.2757 01.00271724003334
0 INTELSAT 35E
1 42818U 17041A   18007.79775212 -.00000249  00000-0  00000+0 0  9997
2 42818   0.0184  41.5657 0002205 257.7277  60.6845  1.00268907  1937
0 INTELSAT 37E
1 42950U 17059A   18008.28243606 -.00000189  00000-0  00000+0 0  9998
2 42950   0.0023 354.6286 0001410 300.7898 358.5926  1.00271921  1149

