0 IRIDIUM 7
2 25287  86.3983 138.2173 0001898  96.3828 263.7584 14.34217798 34413
0 IRIDIUM 65
1 25288U 98021D   18008.49159266  .00000140  00000-0  42881-4 0  9996
2 25288  86.3981 138.0852 0002131  92.9931 267.1509 14.34218355 34440
0 IRIDIUM 66
1 25289U 98021E   18008.42816852  .00000138  00000-0  42173-4 0  9992
2 25289  86.3980 138.0132 0002174  95.6627 264.4817 14.34218230 34422
0 IRIDIUM 67
1 25290U 98021F   18008.43450845  .00000128  00000-0  38675-4 0  9992
2 25290  86.3981 138.1499 0002102  95.8956 264.2479 14.34218343 34449
0 IRIDIUM 68
1 25291U 98021G   18008.37121101  .00000134  00000-0  40687-4 0  9999
2 25291  86.3983 138.2990 0002044  94.5873 265.5556 14.34215566 34419
0 IRIDIUM 69
1 25319U 98026A   18008.49785851  .00000091  00000-0  23037-4 0  9998
2 25319  86.4010 159.3931 0001608  27.9492 332.1792 14.38710923 32550
0 IRIDIUM 71
1 25320U 98026B   18008.49867246  .00000096  00000-0  24535-4 0  9998
2 25320  86.3993 155.1854 0003546  61.2181 298.9373 14.39127356 32993
0 IRIDIUM 70
1 25342U 98032A   18008.47461894  .00000029  00000-0  32381-5 0  9991
2 25342  86.3986 138.5077 0002171  95.1131 308.3498 14.34218000 28525
0 IRIDIUM 72
1 25343U 98032B   18008.38378027  .00000130  00000-0  39303-4 0  9990
2 25343  86.3981 138.1439 0002124  94.5911 265.5528 14.34217703 28512
0 IRIDIUM 73
1 25344U 98032C   18008.44178105  .00000117  00000-0  25440-4 0  9995
2 25344  86.4444 116.2468 0002823  95.6684 264.4842 14.49088100 37275
0 IRIDIUM 75
1 25346U 98032E   18008.45989928  .00000125  00000-0  37632-4 0  9996
2 25346  86.3985 138.3716 0002106  95.2442 264.8994 14.34217327 29091
0 IRIDIUM 03
1 25431U 98048A   18008.51408796  .00000039  00000-0  68778-5 0  9994
2 25431  86.3975 169.9174 0002167  90.5690 269.5754 14.34213720 15053
0 IRIDIUM 76
1 25432U 98048B   18008.53313476 -.00000048  00000-0 -24269-4 0  9995
2 25432  86.3975 169.6568 0002104  92.9874 267.1563 14.34213402 15025
0 IRIDIUM 82
1 25467U 98051A   18008.31676776  .00000970  00000-0  70820-4 0  9994
2 25467  86.4019 286.9154 0183059  20.6848 340.1662 14.89674422 17370
0 IRIDIUM 81
1 25468U 98051B   18008.36434685  .00000191  00000-0  56011-4 0  9992
2 25468  86.4246 296.0449 0002115  91.6997 268.4443 14.38613929 12348
0 IRIDIUM 80
1 25469U 98051C   18008.38354559  .00000175  00000-0  55431-4 0  9993
2 25469  86.3974 296.2988 0001810  66.0468  73.2788 14.34220549 12247
0 IRIDIUM 2
1 25527U 98066A   18008.29553608  .00000692  00000-0  32922-4 0  9994
2 25527  85.5310 271.1170 0011134  63.0061 297.2314 15.17120745 48968
0 IRIDIUM 86
1 25528U 98066B   18008.23257270  .00000160  00000-0  49938-4 0  9990
2 25528  86.3958 264.0400 0002631  66.7713 293.3759 14.34217277  8757
0 IRIDIUM 84
1 25530U 98066D   18008.40382614  .00000159  00000-0  49868-4 0  9993
2 25530  86.3960 264.1366 0002024  86.2203 273.9224 14.34217189  6416
0 IRIDIUM 83
1 25531U 98066E   18008.22622431  .00000152  00000-0  47340-4 0  9994
2 25531  86.3964 264.3448 0001954  85.7490 274.3929 14.34217916  3745
0 IRIDIUM 20
1 25577U 98074A   18008.49504660 -.00000058  00000-0 -27907-4 0  9999
2 25577  86.3973 169.5916 0001994  88.6778 271.4646 14.34213843997860
0 IRIDIUM 11
1 25578U 98074B   18008.51990628  .00000017  00000-0 -95769-6 0  9993
2 25578  86.3973 169.7810 0001914  87.0402 335.8924 14.34214079  6839
0 IRIDIUM 14
1 25777U 99032A   18008.40914343  .00000127  00000-0  38405-4 0  9990
2 25777  86.3984 138.2211 0002182  93.6246 266.5200 14.34217757984091
0 IRIDIUM 21
1 25778U 99032B   18008.37742852  .00000135  00000-0  41045-4 0  9994
2 25778  86.3982 138.2503 0002101  99.3304 260.8129 14.34218064977522
0 IRIDIUM 91
1 27372U 02005A   18008.20667027 -.00000082  00000-0 -36473-4 0  9994
2 27372  86.3969 201.4776 0002381  88.3641 271.7828 14.34222240841018
0 IRIDIUM 90
1 27373U 02005B   18008.17933472  .00000158  00000-0  41230-4 0  9990
2 27373  86.4474 264.3568 0002196  84.6226 275.5225 14.42961825840919
0 IRIDIUM 94
1 27374U 02005C   18008.54065262  .00000035  00000-0  53156-5 0  9990
2 27374  86.3973 169.9075 0002660  97.9434 333.7792 14.34216138845383
0 IRIDIUM 95
1 27375U 02005D   18008.52379432 -.00000058  00000-0 -27853-4 0  9997
2 27375  86.3965 201.3599 0002453 103.7786 256.3683 14.34214737840346
0 IRIDIUM 96
1 27376U 02005E   18008.56674863  .00019452 -13059-5  21586-3 0  9994
2 27376  86.3816 232.3062 0326628  94.1561 269.7076 15.17871183845691
0 IRIDIUM 97
1 27450U 02031A   18008.56525104  .00000063  00000-0  15603-4 0  9997
2 27450  86.3961 233.0417 0002154  86.8040 273.3403 14.34218271819666
0 IRIDIUM 98
1 27451U 02031B   18008.36291532  .00000170  00000-0  53572-4 0  9997
2 27451  86.3967 296.3904 0002350  73.1619 286.9834 14.34221558820713
0 IRIDIUM 106
1 41917U 17003A   18008.35024915  .00000091  00000-0  25473-4 0  9994
2 41917  86.3988 296.3205 0001597  71.4222 288.7147 14.34219490 51485
0 IRIDIUM 103
1 41918U 17003B   18008.33756497  .00000027  00000-0  25555-5 0  9991
2 41918  86.3986 296.2357 0002581  71.9658 288.1818 14.34215203 51514
0 IRIDIUM 109
1 41919U 17003C   18008.34391043  .00000089  00000-0  24659-4 0  9996
2 41919  86.3988 296.2418 0002147  80.7813 279.3626 14.34219124 51496
0 IRIDIUM 102
1 41920U 17003D   18008.31219271  .00000089  00000-0  24865-4 0  9996
2 41920  86.3986 296.2449 0002324  86.0285 274.1177 14.34220983 51555
0 IRIDIUM 105
1 41921U 17003E   18008.32178622  .00000231  00000-0  24158-4 0  9996
2 41921  85.8797 269.0897 0012370  66.1567 294.0951 14.84209609 53188
0 IRIDIUM 104
1 41922U 17003F   18008.32488679  .00000095  00000-0  27026-4 0  9998
2 41922  86.3987 296.2347 0001819  68.6988 291.4402 14.34218283 51541
0 IRIDIUM 114
1 41923U 17003G   18008.33121915  .00000090  00000-0  24997-4 0  9996
2 41923  86.3986 296.2242 0001724  87.8997 272.2396 14.34216748 51546
0 IRIDIUM 108
1 41924U 17003H   18008.31557048  .00000223  00000-0  23293-4 0  9991
2 41924  85.8825 269.1194 0012219  64.9492 295.2998 14.84206749 53174
0 IRIDIUM 112
1 41925U 17003J   18008.31855230  .00000088  00000-0  24436-4 0  9995
2 41925  86.3983 296.2182 0002246 101.0293 259.1156 14.34215623 51578
0 IRIDIUM 111
1 41926U 17003K   18008.37562173  .00000096  00000-0  27320-4 0  9997
2 41926  86.3985 296.1985 0002222  70.3429 289.8007 14.34219342 51605
0 IRIDIUM 113
1 42803U 17039A   18008.50254680  .00000041  00000-0  15331-5 0  9997
2 42803  85.6126 178.4157 0011023 270.5602  89.4357 14.84088812 29167
0 IRIDIUM 123
1 42804U 17039B   18008.53661501 -.00000010  00000-0 -10478-4 0  9999
